supu;ika;koulutus;siviilis;tyotilan;omistusa;oma_tulo;kotittul;saasto95;saasto94;asuntol;muulaina;yltyyt;taltyyt;ihmtyyt
1,00;33,00;3,00;1,00;1,00;1,00;4795,00;5204,00;21894,00;36000,00;38588,00;28837,00;3,00;4,00;4,00
1,00;22,00;3,00;1,00;0,00;1,00;2415,00;2700,00;9383,00;15000,00;120300,00;6302,00;4,00;4,00;4,00
1,00;50,00;3,00;1,00;1,00;1,00;5364,00;6086,00;53454,00;69000,00;231946,00;36779,00;2,00;2,00;2,00
2,00;32,00;2,00;1,00;1,00;0,00;4647,00;5290,00;21814,00;15000,00;0,00;3290,00;2,00;1,00;3,00
1,00;26,00;3,00;2,00;0,00;0,00;4831,00;12621,00;16170,00;10000,00;0,00;95597,00;2,00;2,00;2,00
1,00;32,00;2,00;2,00;1,00;0,00;3208,00;10800,00;17299,00;20000,00;0,00;8800,00;1,00;2,00;1,00
1,00;47,00;3,00;2,00;0,00;0,00;3439,00;11084,00;34089,00;28000,00;0,00;81764,00;1,00;2,00;1,00
2,00;34,00;5,00;1,00;1,00;0,00;4764,00;5290,00;22496,00;29000,00;0,00;82251,00;2,00;2,00;2,00
1,00;27,00;2,00;3,00;0,00;0,00;4219,00;5135,00;3130,00;10000,00;0,00;3135,00;3,00;3,00;2,00
2,00;29,00;4,00;2,00;0,00;0,00;5123,00;11885,00;18382,00;15000,00;0,00;158169,00;2,00;2,00;2,00
1,00;22,00;2,00;1,00;1,00;0,00;5601,00;6213,00;14388,00;8000,00;0,00;4213,00;2,00;2,00;2,00
1,00;25,00;2,00;1,00;0,00;0,00;2677,00;3169,00;13251,00;20000,00;0,00;1169,00;4,00;4,00;4,00
1,00;30,00;5,00;1,00;0,00;0,00;4001,00;4290,00;20180,00;27000,00;0,00;57271,00;2,00;2,00;2,00
2,00;47,00;4,00;2,00;1,00;0,00;4317,00;10303,00;35604,00;30000,00;0,00;132855,00;2,00;2,00;2,00
2,00;27,00;4,00;1,00;0,00;0,00;4258,00;5112,00;17374,00;36000,00;0,00;49801,00;3,00;3,00;3,00
2,00;52,00;5,00;2,00;1,00;0,00;5419,00;14140,00;43271,00;33000,00;0,00;303508,00;1,00;2,00;1,00
1,00;27,00;4,00;2,00;0,00;0,00;3345,00;11544,00;13898,00;22000,00;0,00;152713,00;2,00;2,00;2,00
2,00;31,00;3,00;2,00;0,00;0,00;3803,00;9851,00;11955,00;30000,00;0,00;70663,00;3,00;3,00;2,00
1,00;31,00;5,00;2,00;0,00;0,00;7594,00;14005,00;19996,00;18000,00;0,00;300126,00;1,00;2,00;1,00
2,00;29,00;3,00;1,00;0,00;0,00;3873,00;4416,00;18011,00;27000,00;0,00;21751,00;3,00;3,00;3,00
2,00;35,00;5,00;1,00;1,00;0,00;7387,00;8303,00;31228,00;23000,00;0,00;157599,00;1,00;2,00;1,00
2,00;57,00;3,00;1,00;1,00;1,00;6151,00;6328,00;69148,00;60000,00;74132,00;38960,00;2,00;2,00;2,00
2,00;49,00;5,00;2,00;1,00;1,00;7243,00;11517,00;36300,00;53500,00;148974,00;237933,00;3,00;3,00;3,00
2,00;36,00;5,00;2,00;1,00;1,00;7636,00;15588,00;24216,00;60000,00;402852,00;339714,00;3,00;3,00;3,00
2,00;48,00;2,00;2,00;1,00;1,00;5087,00;13499,00;41122,00;30000,00;180387,00;11499,00;1,00;2,00;2,00
1,00;32,00;3,00;1,00;1,00;1,00;7298,00;7680,00;26350,00;25000,00;60975,00;51124,00;1,00;2,00;1,00
1,00;28,00;2,00;1,00;1,00;1,00;4388,00;4928,00;14699,00;20000,00;191673,00;2928,00;4,00;4,00;3,00
1,00;37,00;3,00;1,00;0,00;0,00;4884,00;5457,00;30211,00;26000,00;0,00;31120,00;3,00;2,00;4,00
2,00;22,00;3,00;1,00;0,00;0,00;3318,00;3748,00;8180,00;16000,00;0,00;15732,00;3,00;4,00;3,00
1,00;58,00;3,00;4,00;1,00;0,00;4585,00;4708,00;71441,00;66000,00;0,00;24379,00;2,00;2,00;2,00
1,00;23,00;3,00;1,00;1,00;0,00;7421,00;8376,00;14449,00;13000,00;0,00;57385,00;2,00;2,00;2,00
2,00;26,00;3,00;2,00;0,00;0,00;3268,00;12467,00;16035,00;12000,00;0,00;94208,00;2,00;2,00;2,00
1,00;28,00;5,00;2,00;0,00;0,00;4340,00;9685,00;10250,00;28000,00;0,00;192133,00;2,00;3,00;4,00
1,00;36,00;5,00;2,00;1,00;0,00;7433,00;15018,00;27021,00;20000,00;0,00;325450,00;1,00;2,00;1,00
2,00;41,00;4,00;2,00;0,00;0,00;3442,00;9395,00;16009,00;29000,00;0,00;118334,00;2,00;3,00;1,00
2,00;32,00;4,00;2,00;0,00;0,00;3069,00;10798,00;21929,00;18000,00;0,00;140777,00;2,00;2,00;1,00
1,00;44,00;3,00;3,00;1,00;0,00;6879,00;7327,00;17947,00;14000,00;0,00;47950,00;2,00;2,00;2,00
2,00;30,00;5,00;2,00;1,00;0,00;5868,00;11368,00;19144,00;23000,00;0,00;234208,00;2,00;2,00;2,00
1,00;26,00;3,00;2,00;1,00;0,00;7559,00;13974,00;18682,00;15000,00;0,00;107768,00;2,00;2,00;2,00
2,00;37,00;3,00;2,00;1,00;0,00;4950,00;13284,00;23335,00;15000,00;0,00;101561,00;1,00;1,00;1,00
1,00;32,00;4,00;1,00;1,00;0,00;5878,00;6425,00;25219,00;30000,00;0,00;70801,00;2,00;2,00;2,00
1,00;54,00;4,00;1,00;0,00;0,00;4645,00;5447,00;62420,00;55000,00;0,00;55164,00;2,00;2,00;2,00
2,00;43,00;5,00;3,00;1,00;0,00;5719,00;6157,00;16589,00;25000,00;0,00;103931,00;4,00;3,00;4,00
1,00;26,00;3,00;2,00;1,00;1,00;4009,00;7591,00;9384,00;23000,00;159548,00;50324,00;3,00;3,00;3,00
